posixTime,teamID,lat,lon,spdkn,hdgdeg
1405853100,294,42.96299,-87.73083,2.81985080461792,341
1405852200,294,42.95245,-87.72374,3.74754185007415,338
1405851300,294,42.93891,-87.71312,3.43196747238545,340
1405850400,294,42.92629,-87.70394,3.30495285236844,332
1405849500,294,42.91557,-87.69214,3.23773865998282,333
1405848600,294,42.90497,-87.68075,3.38436605175137,332
1405847707,294,42.89428,-87.66843,2.91463498700361,324
1405846800,294,42.88623,-87.65585,2.8042046337299,318
1405845900,294,42.87956,-87.64276,2.1719215834127,328
1405845000,294,42.87325,-87.63391,1.57054673497977,337
1405844100,294,42.8679,-87.62877,0.83982964850052,337
1405843200,294,42.86504,-87.62602,0.647405738341991,338
1405842300,294,42.86281,-87.62395,0.672273519159022,337
1405841400,294,42.86052,-87.62175,1.07196841796763,337
1405840500,294,42.85688,-87.61822,1.23004386225127,334
1405839600,294,42.85294,-87.61375,0.810378480597378,343
1405838700,294,42.84997,-87.61156,1.08330119288321,355
1405837800,294,42.8455,-87.61071,1.85775251447732,355
1405836906,294,42.83791,-87.60904,3.20066980993682,359
1405836000,294,42.8245,-87.60822,3.57007932992666,357
1405835100,294,42.80968,-87.6065,2.00373541008584,358
1405834200,294,42.80136,-87.60557,1.79550040315735,355
1405833300,294,42.79397,-87.60399,3.2245389428107,357
1405832400,294,42.78059,-87.60235,3.4195763017732,1
1405831500,294,42.76635,-87.60294,3.09139030808246,1
1405830600,294,42.75349,-87.6039,2.22818576439873,348
1405829700,294,42.7451,-87.59849,2.05256928099966,350
1405828800,294,42.73721,-87.594,2.21741194682002,16
1405827900,294,42.72953,-87.60099,2.73339865164283,12
1405827000,294,42.71948,-87.60828,3.07390463634449,10
1405826107,294,42.70791,-87.61543,3.61439659773786,10
1405825200,294,42.69407,-87.6239,3.57723009592468,10
1405824300,294,42.68056,-87.63246,3.74555462284873,8
1405823400,294,42.66622,-87.64083,4.23040931103199,6
1405822500,294,42.64956,-87.64865,4.61436351096175,5
1405821600,294,42.63114,-87.65613,4.29431998734191,4
1405820700,294,42.61388,-87.66253,4.08424607422495,4
1405819800,294,42.59742,-87.66839,3.47067396007656,3
1405818900,294,42.58334,-87.67286,4.45142722822056,3
1405818000,294,42.5655,-87.67974,3.13893573857781,1
1405817100,294,42.55247,-87.6812499999999,2.35957904954735,1
1405816200,294,42.54269,-87.6826,1.97209329353518,2
1405815306,294,42.53463,-87.6843399999999,2.62049787024394,2
1405814400,294,42.52382,-87.68703,2.56817130170605,2
1405813500,294,42.51332,-87.68982,3.17151897110044,1
1405812600,294,42.50033,-87.6931,2.98262065192232,0
1405811700,294,42.48791,-87.69363,3.30743900025961,0
1405810800,294,42.47414,-87.69432,3.46672546942678,0
1405809900,294,42.45974,-87.69583,3.34872924215535,0
1405809000,294,42.44579,-87.6961,4.10290046384374,360
1405808100,294,42.42875,-87.69427,5.40348484712694,360
1405807200,294,42.4063,-87.69201,6.364209460193,360
1405806300,294,42.37982,-87.69018,6.79770971567899,360
1405805400,294,42.3515,-87.68995,6.59735785262411,360
1405804507,294,42.32423,-87.6895,6.71964991092732,0
1405803600,294,42.29602,-87.6900599999999,6.67285818181563,360
1405802700,294,42.26822,-87.6898699999999,6.59669302488675,359
1405801800,294,42.24076,-87.6883499999999,6.61607974232995,358
1405800900,294,42.21344,-87.6834099999999,6.93840695882268,357
1405800000,294,42.18485,-87.6776499999999,7.01274011121063,357
1405799100,294,42.15606,-87.6709399999999,6.9432436328573,358
1405798200,294,42.12727,-87.66715,6.85995515340092,357
1405797300,294,42.0989,-87.6624899999999,6.54563019836828,355
1405796400,294,42.07208,-87.65584,6.56640118812477,353
1405795500,294,42.04567,-87.64623,6.39691298659142,349
1405794600,294,42.02083,-87.63323,5.71695814778002,349
1405793706,294,41.99868,-87.62204,5.56447525955757,340
1405792800,294,41.9792,-87.60475,4.51292946217006,339
1405791900,294,41.96343,-87.59098,4.35037762283726,352
1405791000,294,41.94578,-87.58544,3.5923481644786,355
1405790100,294,41.93095,-87.58273,3.38314647908284,355
1405789200,294,41.91701,-87.57993,2.33121441973713,354
